worker_id,assignments_done,items_done,controls_done,controls_correct,control_accuracy,median_duration_sec,mean_duration_sec,yes_count,no_count,not_working_count,yes_share,no_share,not_working_share,quality_segment
10abfc02-6512-408d-965d-c1777b4baae2,13,130,13,9,0.6923076923076923,293.0,288.15384615384613,59,68,3,0.45384615384615384,0.5230769230769231,0.023076923076923078,risky
10c3978a-67f4-4fb8-926a-e14ebfea00a1,30,300,30,25,0.8333333333333334,478.0,557.1666666666666,142,143,15,0.47333333333333333,0.4766666666666667,0.05,risky
10d103f8-292f-4175-8e6b-35abe03357c1,12,60,12,11,0.9166666666666666,231.0,260.5,36,23,1,0.6,0.38333333333333336,0.016666666666666666,good
10e5d597-23c2-45d2-bc8d-95f7112c0001,6,60,11,7,0.6363636363636364,280.5,303.0,43,17,0,0.7166666666666667,0.2833333333333333,0.0,bad
10ec35fd-9432-4ceb-a8ff-dd3074b45838,18,180,36,28,0.7777777777777778,355.5,395.3333333333333,92,83,5,0.5111111111111111,0.46111111111111114,0.027777777777777776,risky
11015542-187d-4f88-9686-0958347fcbf0,3,30,6,3,0.5,327.0,340.6666666666667,19,9,2,0.6333333333333333,0.3,0.06666666666666667,bad
110249f8-3222-4116-9d59-998a29855dab,10,100,10,8,0.8,443.0,453.4,61,37,2,0.61,0.37,0.02,risky
1125308b-8ed0-4773-8bb8-c2e9b13c53c3,2,20,4,2,0.5,131.5,131.5,18,1,1,0.9,0.05,0.05,unknown_low_controls
11402dc2-ebd2-44f8-b9de-7b9615145cc3,1,10,1,0,0.0,1456.0,1456.0,8,0,2,0.8,0.0,0.2,unknown_low_controls
114b5c83-e2ca-48cf-a358-7d557b7f5c65,5,50,10,5,0.5,303.0,287.8,27,18,5,0.54,0.36,0.1,bad
11a6935f-e400-4fff-a914-215e96ab9182,4,20,4,2,0.5,324.0,361.0,10,8,2,0.5,0.4,0.1,unknown_low_controls
11a69b82-3b50-4c6b-8f6a-a8eec2bee046,3,30,3,2,0.6666666666666666,310.0,325.6666666666667,17,10,3,0.5666666666666667,0.3333333333333333,0.1,unknown_low_controls
1204c479-359c-4c88-84cd-04b70b55ea77,9,90,9,5,0.5555555555555556,435.0,446.6666666666667,47,40,3,0.5222222222222223,0.4444444444444444,0.03333333333333333,bad
12135c12-98f0-404f-a6b9-fc88f92afabb,6,50,6,4,0.6666666666666666,605.0,505.3,30,18,2,0.6,0.36,0.04,risky
