workflow,url,gold_answer,n_workers_total,n_attempts_total,n_repeated_worker_votes,n_conflicted_workers,n_valid_votes,n_correct,n_incorrect,correct_share,incorrect_share,repeat_worker_share,conflict_worker_share,yes_count,yes_share,no_count,no_share,not_working_count,not_working_share,eligible_by_n,is_difficult,is_ambiguous,is_conflicted_repeats,flag
REGION_MARKUP,https://samaraspectehnika.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sanlares.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sannet66.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://sanodv.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santehklass.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santehopt-perm.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santehremo.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santekhnika-optom.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santexnika-msk.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://santini-23.ru,no,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,False,False,False,False,ok
REGION_MARKUP,https://saratov-semena.ru,yes,1,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1,1.0,0,0.0,0,0.0,False,False,False,False,ok
